Vehicle_ID,Lane,Frame,Timestamp
5,1,1,11:50:27
4,2,1,11:50:27
3,1,1,11:50:27
2,2,1,11:50:27
1,1,1,11:50:27
4,1,2,11:50:30
6,1,13,11:50:30
17,1,33,11:50:31
19,3,40,11:50:31
20,2,41,11:50:31
21,2,45,11:50:32
23,1,46,11:50:32
22,1,46,11:50:32
24,2,48,11:50:32
28,2,57,11:50:32
27,1,57,11:50:32
29,2,58,11:50:32
27,2,59,11:50:32
30,1,60,11:50:32
33,1,65,11:50:33
36,3,84,11:50:33
43,2,100,11:50:34
46,1,107,11:50:35
51,2,124,11:50:35
50,2,124,11:50:35
50,1,127,11:50:35
54,1,133,11:50:36
55,2,134,11:50:36
61,2,141,11:50:36
62,1,142,11:50:36
63,2,144,11:50:36
66,2,146,11:50:36
67,2,153,11:50:37
68,2,158,11:50:37
69,1,163,11:50:37
70,2,164,11:50:37
72,2,170,11:50:37
75,2,176,11:50:38
69,2,178,11:50:38
77,1,185,11:50:38
78,1,188,11:50:38
80,1,194,11:50:39
82,1,201,11:50:39
83,1,205,11:50:39
84,2,206,11:50:39
86,1,208,11:50:39
88,1,215,11:50:39
90,1,218,11:50:40
89,2,218,11:50:40
72,1,221,11:50:40
92,1,226,11:50:40
91,2,229,11:50:40
99,2,235,11:50:40
100,2,236,11:50:40
106,2,247,11:50:41
108,1,248,11:50:41
105,2,249,11:50:41
113,1,254,11:50:41
110,2,256,11:50:41
121,1,261,11:50:42
123,2,262,11:50:42
125,2,269,11:50:42
126,1,270,11:50:42
129,2,274,11:50:42
130,1,276,11:50:42
132,2,282,11:50:43
133,2,284,11:50:43
134,1,290,11:50:43
135,1,291,11:50:43
138,2,295,11:50:43
140,2,307,11:50:44
135,2,313,11:50:44
110,1,314,11:50:44
142,2,319,11:50:44
144,1,324,11:50:45
147,2,328,11:50:45
150,2,335,11:50:45
123,1,335,11:50:45
151,1,336,11:50:45
149,1,339,11:50:45
159,1,354,11:50:46
162,2,357,11:50:46
151,2,363,11:50:46
168,1,368,11:50:47
171,2,376,11:50:47
174,1,380,11:50:47
173,1,380,11:50:47
175,2,382,11:50:47
177,1,395,11:50:48
178,2,397,11:50:48
180,1,410,11:50:49
182,1,415,11:50:49
184,1,427,11:50:49
186,1,432,11:50:50
191,1,438,11:50:50
192,2,445,11:50:50
193,1,446,11:50:50
194,1,448,11:50:50
196,1,454,11:50:51
197,1,457,11:50:51
198,1,460,11:50:51
199,1,464,11:50:51
201,1,476,11:50:52
203,2,485,11:50:52
205,1,489,11:50:52
206,1,495,11:50:53
207,1,496,11:50:53
208,2,498,11:50:53
212,1,514,11:50:53
206,2,516,11:50:54
214,1,518,11:50:54
213,1,518,11:50:54
215,1,522,11:50:54
217,2,525,11:50:54
